# docs/process/ctx-exposure.tsv —— ctx 欄位 × 玩家可見度（★機械閘 ctx-coverage-gate.sh 讀它）
#
# ★母體＝decision_context.gd 的 var 欄位（引擎替這具身體真的讀了什麼）。
# ★★每一欄必須【剛好】出現一次；status 三選一：
#   exposed  已端出去（★who 欄寫【哪支公開動詞】，不是「應該可以」）
#   exempt   ★對玩家零語意的純中間 scaffolding —— ★★而它【要呈用戶簽】（不呈＝不豁免）
#   todo     ★該接還沒接 ⇒ who 欄寫 TODO:<存在的票路徑>（同 failure-feedback 的規矩）
# ★★★pages 是【集合】（分號分隔）：一欄可掛多頁（feud 同時屬社交與威脅，純量會逼它選一邊）。
# ★★★★`未分頁` 不是一個分頁，是【還沒有人決定它屬於哪一頁】——
#   ★分頁是 WHAT（玩家在哪裡找得到它），不該由實作端關鍵字猜；
#   ★★我用關鍵字自動分了 77 欄、剩 42 欄關鍵字答不出來 ⇒ 標 `未分頁` 交 blueprint 裁，
#   ★★★而不是塞進「其他」——那會是一個【不會變成 0 的垃圾桶】（今天已經立過這條）。
# ★★★★分頁：blueprint 2026-09-10 裁【定方法，不逐欄欽定】，systems 依方法重過全部 119 欄。
#   方法＝【頁 ＝ 該欄回答的問題】（不是欄位名稱長什麼樣）：
#     生存＝我活不活得下去（糧/覓食/紮營/返家/絕境）
#     經濟＝我有什麼、賺不賺得到、買不買得起、造不造得出來
#     威脅＝誰會打我、我打不打得贏
#     社交＝我跟誰有關係、誰能幫我、我屬於誰、我的領袖是什麼樣的人
#     記憶＝我知道的東西有多舊、我記得誰拒絕過我
#   ★全部標【暫定】—— ★★最終批准閘＝C1 票② 的【文字版畫面走查給用戶簽】
#     （分頁對錯在那裡被【真人】看見；★★★「錯分頁沒人發現」的解是走查，不是遙控 119 格）。
#   ★關鍵字猜的那 77 欄【一併按語意複核】，59 欄被改動。
#   ★★★一個五頁裝不下的發現：`current_task` 回答的是【我現在在做什麼】——
#     那不是五頁中任何一頁的問題（它是所有頁的抬頭）⇒ 標 `★常駐狀態列(header)`，已呈 blueprint。
# ★第五欄【中文顯示名】（systems 2026-09-10，blueprint 拉前）：
#   ★★REPL、GUI、走查【同一張表取名】—— 否則三個地方各取各的，
#     而同一個欄位在三個畫面上叫三個名字⇒ 用戶無法交叉比對。
#   ★★★它是【附加在最後】而不是插在中間：現有讀者都按位置讀 $1..$4
#     （c1_walkthrough.gd:126 、ctx-coverage-gate.sh）⇒ 插在中間會静默地把它們全部弄歪。
field	status	pages	who	中文顯示名
own_camp_pos	exposed	生存	player_query_api.get_decision_snapshot	自家營地在哪
settle_resume_site	exposed	生存	player_query_api.get_decision_snapshot	未完工的工地
settle_eta_days	exposed	生存	player_query_api.get_decision_snapshot	紮根還要幾天
settle_site_quality	exposed	生存	player_query_api.get_decision_snapshot	紮根選址品質
food_runway_days	exposed	生存	player_query_api.get_decision_snapshot	粮食跑道（還能擐幾天）
can_expand	exposed	經濟	player_query_api.get_decision_snapshot	能不能分村
expand_pos	exposed	經濟	player_query_api.get_decision_snapshot	分村選址
expand_settler	exposed	經濟	player_query_api.get_decision_snapshot	派幾人去分村
expand_site_marginal	exposed	經濟	player_query_api.get_decision_snapshot	新村的邊際產出
expand_home_marginal	exposed	經濟	player_query_api.get_decision_snapshot	抽人走對本村的損失
expand_build_cost	exposed	經濟	player_query_api.get_decision_snapshot	分村的建造成本
has_aid_target	exposed	社交	player_query_api.get_decision_snapshot	有沒有人要援
aid_target_id	exposed	社交	player_query_api.get_decision_snapshot	援助對象
has_food_market	exposed	經濟	player_query_api.get_decision_snapshot	附近有粮市
food_market_pos	exposed	經濟	player_query_api.get_decision_snapshot	粮市在哪
food_market_dist	exposed	經濟	player_query_api.get_decision_snapshot	距粮市多遠
has_material_market	exposed	經濟	player_query_api.get_decision_snapshot	附近有材料市
material_shortfall	exposed	經濟	player_query_api.get_decision_snapshot	材料缺口
material_need_total	exposed	經濟	player_query_api.get_decision_snapshot	材料總需求
material_build_urgency	exposed	經濟	player_query_api.get_decision_snapshot	工程缺料的急迫度
has_forage_tile	exposed	生存	player_query_api.get_decision_snapshot	附近有沒有能覓的地
forage_pos	exposed	生存	player_query_api.get_decision_snapshot	覓食地點
has_specie	exposed	經濟	player_query_api.get_decision_snapshot	身上有錢
has_buyable_food	exposed	生存;經濟	player_query_api.get_decision_snapshot	市上買得到粮
food_seek_target	exposed	生存	player_query_api.get_decision_snapshot	打算去哪找粮
help_need_severity	exposed	社交	player_query_api.get_decision_snapshot	別人有多需要幫忙
help_target_id	exposed	社交	player_query_api.get_decision_snapshot	求援的是誰
help_target_pos	exposed	社交	player_query_api.get_decision_snapshot	求援的在哪
scout_staleness	exposed	記憶	player_query_api.get_decision_snapshot	情報有多舊
scout_target_id	exposed	記憶	player_query_api.get_decision_snapshot	想打探誰
scout_target_pos	exposed	記憶	player_query_api.get_decision_snapshot	想打探哪裡
can_send_herald	exposed	社交	player_query_api.get_decision_snapshot	派得出使者嗎
can_send_scout	exposed	記憶	player_query_api.get_decision_snapshot	派得出斥候嗎
has_acceptable_join_host	exposed	社交	player_query_api.get_decision_snapshot	有沒有值得投靠的人
home_food	exposed	生存	player_query_api.get_decision_snapshot	家裡的粮倉
home_food_productive	exposed	生存	player_query_api.get_decision_snapshot	家裡還產不產粮
faction_stakes	exposed	社交	player_query_api.get_decision_snapshot	派系交代的利害
faction_attack_target	exposed	社交;威脅	player_query_api.get_decision_snapshot	派系要打誰
faction_tribute_target	exposed	社交	player_query_api.get_decision_snapshot	派系要向誰納貢
faction_diplo_target	exposed	社交	player_query_api.get_decision_snapshot	派系要跟誰談
pacify_target_on_cooldown	exposed	社交;記憶	player_query_api.get_decision_snapshot	安撫對象還在冷卻
diplo_target_on_cooldown	exposed	社交;記憶	player_query_api.get_decision_snapshot	邦交對象還在冷卻
leader_loyalty	exposed	社交	player_query_api.get_decision_snapshot	領袖的忠誠
intent	exposed	社交	player_query_api.get_decision_snapshot	目前的意向
intent_target	exposed	社交	player_query_api.get_decision_snapshot	意向對象
threat_react	exposed	威脅	player_query_api.get_decision_snapshot	對威脅的反應強度
threat_id	exposed	威脅	player_query_api.get_decision_snapshot	威脅來自誰
threat_pos	exposed	威脅	player_query_api.get_decision_snapshot	威脅在哪
threat_threshold	exposed	威脅	player_query_api.get_decision_snapshot	威脅多大才會動
flee_dest	exposed	生存;威脅	player_query_api.get_decision_snapshot	逃往哪裡
perceived_power_ratio	exposed	威脅	player_query_api.get_decision_snapshot	看起來強弱比
winnable	exposed	威脅	player_query_api.get_decision_snapshot	打不打得贏
is_resident	exposed	社交	player_query_api.get_decision_snapshot	是不是居民
archetype	exposed	社交	player_query_api.get_decision_snapshot	人格原型
rung	exposed	社交	player_query_api.get_decision_snapshot	需求層級
has_trainable	exposed	社交	player_query_api.get_decision_snapshot	有沒有人可練
ambient_train_drive	exposed	社交	player_query_api.get_decision_snapshot	平時練兵的動力
need_urgency	exposed	生存;經濟	player_query_api.get_decision_snapshot	當下需求的急迫度
readiness	exposed	威脅	player_query_api.get_decision_snapshot	戰備程度
readiness_thr_eff	exposed	威脅	player_query_api.get_decision_snapshot	戰備門檻
prosperity_prey_id	exposed	威脅	player_query_api.get_decision_snapshot	看上的肥羊
is_subteam	exposed	社交	player_query_api.get_decision_snapshot	是不是分隊
consolidate_target_id	exposed	社交	player_query_api.get_decision_snapshot	想整併誰
absorb_target_id	exposed	社交	player_query_api.get_decision_snapshot	想吸收誰
resource_slack	exposed	經濟	player_query_api.get_decision_snapshot	資源寬裕
absorb_yield	exposed	社交	player_query_api.get_decision_snapshot	吸收拿得到什麼
host_protector_rep	exposed	社交	player_query_api.get_decision_snapshot	現主子的名聲
best_protector_rep	exposed	社交	player_query_api.get_decision_snapshot	最好的主子名聲
survival_stall_active	exposed	生存	player_query_api.get_decision_snapshot	生存停滞中
