# 普查：誰在迭代 state.teams，而它需要的是【活著的】還是【全部的】？
# 產於 is_live_actor 票（HOW: docs/superpowers/specs/2026-09-10-is-live-actor-named-predicate-HOW.md）
# ★本票【不修任何一站】——清單交上游判優先序、分票開（逐站後果不同，混一張票＝無法驗收的大改）。
#
# 母體撈法（★我自己重撈，沒有沿用 spec 的 pattern）：
#   ①grep -rn "in state\.teams" scripts/simulation scripts/data --include=*.gd  ⇒ 60 行
#     ★其中 6 行是【子字串誤命中】（teams_on_tile / teams_by_tile / teams_pending_erase）⇒ 真命中 54
#     ★★而 spec 寫 62：差額 2 ＝ 本票剛剛消滅的那兩處逐字重複（現在是 state.pending_erase_set()）
#   ②R² 找到的【先存變數／當參數傳】那一類 6 站，逐站覆核後併入 ⇒ 母體 60
#   ③我另掃 state.teams.values() / 裸 state.teams 當參數 ⇒ 零命中（與 R² 一致）
#   ⇒ 本表 61 列 ＝ 60 ＋ 【清除端自己】1 站（faction_ai:4416，它迭代的是 teams_pending_erase，
#     ★被 ①的過濾排除掉，我手動收錄——因為讀這張表的人一定會問「那清除端呢」）
#
# class：A=需要活著的（對它做事／玩家可見）｜B=需要全部的（記帳/守恆/fp/cleanup 自己）｜C=讀 code 判不出來
# ★★★C 這一類必須存在：一份沒有 C 的普查是可疑的（它表示分類者把不確定的塞進了 A 或 B）。
site	func	class	reason
scripts/simulation/decision/goal_resolver.gd:457	_deliver_candidates	A	同上
scripts/simulation/observer_query_api.gd:66	query_all_teams	A	★玩家可見面（R² 初判，我覆核＝同意）
scripts/simulation/observer_query_api.gd:133	query_map_teams	A	★玩家可見面（同上）
scripts/simulation/observer_query_api.gd:184	_residents_here_now	A	★玩家可見面（同上）
scripts/simulation/coin_audit.gd:11	total	B	守恆記帳：★殭屍身上的錢【還在世界裡】，漏算它才會假性不守恆
scripts/simulation/invariant_audit.gd:19	_check_population	B	稽核＝本來就要看全部
scripts/simulation/invariant_audit.gd:39	_check_faction_bidir	B	同上
scripts/simulation/invariant_audit.gd:50	_check_subteam_bidir	B	同上
scripts/simulation/invariant_audit.gd:65	_check_no_grandparent	B	登記錨 ④a 的一跳假設守衛：稽核＝看全部（★兩層子隊即使在待清除隊上出現也要紅）
scripts/simulation/invariant_audit.gd:81	_check_roster_bidir	B	同上
scripts/simulation/invariant_audit.gd:106	_check_anon_cohort	B	同上
scripts/simulation/invariant_audit.gd:119	_check_captive_cohort	B	同上
scripts/simulation/invariant_audit.gd:133	_check_no_dangling_team_id	B	同上（★它查的正是懸空引用，更需要看全部）
scripts/simulation/order_system.gd:577	audit_escrow	B	託管守恆稽核
scripts/simulation/order_system.gd:578	audit_escrow	B	同上（內層迴圈）
scripts/simulation/population_system.gd:30	check_overflow	B	人口不變量檢查（★它是稽核不是行為）
scripts/simulation/population_system.gd:65	check_overflow	B	同上（pop 驟降偵測）
scripts/simulation/population_system.gd:77	check_overflow	B	同上（逐隊派工的外層）
scripts/simulation/game_setup.gd:127	_apply_money_genesis	B	★創世期：teams_pending_erase 恆空 ⇒ 兩者等價（列出來是因為【等價不是不存在】）
scripts/simulation/game_setup.gd:141	_apply_money_genesis	B	同上
scripts/simulation/game_setup.gd:156	_apply_money_genesis	B	同上
scripts/simulation/game_setup.gd:171	_seed_creation_market_known	B	同上
scripts/simulation/game_setup.gd:551	_is_tile_occupied	B	同上（創世佈點）
scripts/simulation/faction_ai_system.gd:4416	cleanup_extinct_teams	B	★它【就是】清除端本身——這一站永遠不該過濾
scripts/simulation/sim_runner.gd:309	(pass.byteam probe)	B	記帳本來就該看見全部（R² 初判，覆核同意）
scripts/data/state_fingerprint.gd:77	_emit_teams	B	★fp 序列化本體；且 :145 本來就把 teams_pending_erase.size() 算進 fp
scripts/simulation/labor_system.gd:31	ensure_fresh	C	同格 PRODUCE 隊掃描 ＋ 發 labor_crisis 叫醒：殭屍觸發的叫醒【對誰有害說不清】
scripts/simulation/labor_system.gd:59	pool_of	C	★勞力池：殭屍這 tick 還在格子上——它的人今天到底有沒有幹活，是語意問題不是語法問題
scripts/simulation/labor_system.gd:75	compute_alloc	C	同上（分配）
scripts/simulation/manpower_system.gd:272	tick_all	C	兵役/人力逐隊 tick：對將死之隊做一次結算，後果不明
scripts/simulation/population_system.gd:82	_mature_minors	C	讓一支這 tick 會被 erase 的隊的小孩成年——多半無害，★但「無害」是猜的
scripts/simulation/resource_system.gd:348	flush_forage_episodes	C	R² 初判 [A]?；★我覆核後降成 C：清暫存/發覓食訊息對死者的後果我讀不出來
scripts/simulation/faction_ai_system.gd:7467	tick_solo_think	A	★錯開票新增的思考迴圈（每 tick 到期才想）——已有 null 守衛，★★而 null 看不見 pending_erase：死判定但未清除的隊仍會進來想一次⇒ on-touch 轉 live_team()
