# docs/process/defers.tsv —— ★延後裁定追蹤表（systems 立 2026-09-05，blueprint 裁「散文裁定不受追蹤＝會被遺忘」）
# ★★★met_check 的【極性】：本表幾乎每一行都是「病消失了」（`! grep -q "<病的文字>"`），
# ★met_check 內【最好不要有字面 tab】—— ★★★訂正（2026-09-18 當天）：我原本在這裡寫「一顆 tab 就把那一列切碎、那條 met_check 從寫下那天起就不能跑」——**那是錯的**。★閘自己的讀法是 `while IFS=$'	' read -r a b c met_check`，**最後一個變數會吃掉剩下的全部（含內部 tab）** ⇒ 它一直都跑得起來（實測舊列 rc=1＝病還在）。★★真正會被切碎的是**我臨時用的 `awk -F'	' '{print $4}'`** ⇒ **壞的是我的讀法，不是那一列**。★★★所以這行規矩降級成建議：**欄位裡避免字面 tab，因為【讀它的人不只一種】**。
#   ★而若你的條件是「某個東西【出現】」，**不要帶那個 `!`** ——
#   ★★血證 2026-09-16：systems 照抄了形狀、沒照抄語意 ⇒ **新增那一行當場把 main 的 defer 閘弄紅**
#   ★★★判準：**寫完一行立刻跑一次 `defer-gate.sh`** —— **它一秒鐘，而極性寫反不會有任何別的訊號。**
#
# ★★★【結案書必寫【成立謂詞】】（WHAT 立 2026-09-22）：任何【以事實為理由】的結案，結案書要寫出那個事實的謂詞；謂詞被【世代邊界內的 merge】直接推翻 ⇒ 結案【自動重開】，依原門檻重判。
#   ★防「世界變了所以重開」變萬用鑰匙：只認【寫進結案書的具名謂詞】，沒寫進去的變化【不觸發】，「我覺得世界變了」【不算】。
#   ★★血證（本表 one-pass 那列，2026-09-22）：結案理由是「`estimate_catch_up` 抽全域亂數」，而世代 6 把它推翻 ⇒ 分類翻面 ⇒ 門檻本文一字未動而結果相反。★★★「永久」從來沒有【跨世代】的意思。
#
# ★★★本案實證：2026-08-20 裁「零 LOD（拆 near/far）排最後」，理由是「花預算 + 依賴時間包層級制」。
#   兩個理由後來【都消滅了】（層級制落地、而它開始燒錢），★而【沒有人回頭】——
#   因為那個裁定寫在 `progress.md` 的【散文】裡，不在任何會被檢查的地方。
#
# ★★★★【2026-09-07 血證：met_check 自己也會得那個病】
#   ★我寫 `ten-consequence-farm-income` 的 met_check 時,grep 的是 `order_system.gd` 裡的 `coin.flow.by`
#   ★★而實測:`coin.flow` 在 `scripts/simulation/resource_bank.gd`(4 處),order_system.gd【0 處】
#   ⇒ ★★★那條 met_check【永遠不會觸發】—— 而它不觸發的樣子,跟「條件還沒到」一模一樣
#   ⇒ 規矩:met_check 若 grep 一個符號,★【先去查那個符號現在住在哪個檔】,不要憑印象寫路徑
#      (我是在稽核『每一條 met_check 會不會永遠不觸發』時,在自己一小時前寫的那條上抓到的)
#
# ★★★★★【2026-09-09 同一個病的【上一層】：不是路徑錯，是【詞彙】是憑空想的】
#   `ore-depletion-counter` 的 met_check grep `depletion|remaining_yield`，
#   ★而 code 裡真正的字是 `harvest_deplete`（`resource_system.gd:458`）——
#   ★★`depletion` 不是 `harvest_deplete` 的子字串 ⇒ 那條 met_check 永遠不會觸發。
#   ⇒ 規矩升級：★★★**met_check 的詞彙要從【目標檔案現有的詞彙】取**
#     （先 `grep` 那個檔看它怎麼命名，再寫 pattern），**不要用自己想的詞**。
# ★★★★★★【2026-09-10 第三種寫法錯：我寫的是「修好了沒」，不是「該修了沒」】
#   `farm-pot-single-source` 的 met_check 我原本寫成
#     `required_terrain 存在 && _farm_pot 【不再】有舊形狀`  ⇒ ★那是【完成條件】
#   ⇒ ★★而 defer 的 met_check 要的是【到期條件】：`required_terrain 存在 && _farm_pot 【仍是】舊形狀`
#   ⇒ ★★★寫成完成條件的 defer【永遠不會叫】—— 它只會在有人剛好修好的那天默默變綠，
#     而那正是這張表要防的事（沒有人回頭）。
#   ★判準一句：**met_check 要在「該做而還沒做」時回 0，不是在「做完了」時回 0。**
#
#   ⇒ ★★而本閘【抓不到這一類】，我明說：pattern 沒命中的樣子，
#     跟「條件正確地還沒到」一模一樣，而「還沒實作的東西本來就 grep 不到」是合法情形
#     ⇒ 無法用「詞彙不存在」當紅燈。★★★所以這一類的防線是【人在碰到那個 arc 時複驗】，
#     不是閘 —— 而把這句話寫在這裡，就是那條防線本身。
# ★欄位（TAB 分隔，四欄）：
#   token        唯一代號（kebab-case）
#   summary      裁定摘要（一行）
#   defer_until  ★【解除條件】—— 必須寫成【人看得懂的條件】，不是日期、不是「有空再說」
#   met_check    ★★★【可執行的檢查】—— shell，exit 0 ＝【條件已達成】⇒ 閘會紅
#                ★★沒有 met_check 的行【直接 FAIL】（照 merge-gates.tsv 的 expect 欄前例：
#                  ★★★不能有「沒有判準也算過」的路徑）
#
# ★★★★【2026-09-06 blueprint 立】「XX 需要時」類觸發，一律改寫成【該資源的可量門檻】
#   ★「需要時」＝【某個數字越線】⇒ 把那個數字寫出來
#     （例：「perf 需要時」⇒ `最近的量測檔出現 wall_s > 28800`（＝8 小時）——
#      ★★量測檔本來就帶 `wall_s`，是機械可讀的）
#   ★★★而【寫不出數字的「需要」＝還沒想清楚需要什麼】
#   ★真不可量化的極少數 ⇒ 退而求其次＝【定期複審日期】（也是 met_check：`[ "$(date +%F)" \> "YYYY-MM-DD" ]`）
#   ⇒ ★★總之【表上不留裸 memory 行】
#
# ★★★★【2026-09-06 修 met_check 的參照點】:凡是比 branch 有沒有進主線的,一律比 `origin/main`
#   —— ★不要比【本地 main】:主 dir 可能落後(它是多角色共用的讀取面,不保證同步)
#   ⇒ ★★而那會讓鬧鐘【在它最該響的時候不響】(東西已經上去了,而本地還沒看到)
#   ⇒ ★★★血證 2026-09-06:⑧ 已在 origin/main,而 defer 閘印 PASS —— 因為本地 main 落後兩顆
#
# ★★★★【2026-09-06 第二個血證:判準要對應【你真正在等的事】】
#   ★我把三張經濟票的 met_check 寫成「`ls docs/measurements/*batch1-compare*` 有東西」
#   ⇒ ★★而【一個 interim 檔就滿足它】—— 對比輪十格才做完【一格】,鬧鐘就全響了
#   ⇒ ★★★我寫「檔案存在」時,心裡想的是【那一輪跑完了】——【兩者不是同一件事】
#   ⇒ 修法:改成【完成標記】`docs/process/verdicts/batch1-compare-COMPLETE.measure.json`
#      (★由 measurer 在【十格全部交完】時才寫)
#   ⇒ ★而通則:met_check 要問「這個條件為真的時候,我【真的】可以動工了嗎?」
#
# ★★★★【2026-09-06 blueprint 立】「歸某 arc」與「排某事件後」的分界：
#   ★「歸某 arc／歸某 backlog」 ⇒ 【合法的家】—— roadmap 由【用戶】駕駛，不需要 token
#   ★★「排某事件之後／排最後／等 X 再做」 ⇒ 【要 token】
#     —— ★★★因為它綁的是【一個會過去的事件】，而事件過去之後【沒有人會回頭】
#        （血證：「零 LOD 排最後」＋本日一次判掉的存量裡，★兩筆的觸發事件【早就到期了】：
#          `exam-budget-recalc`（時間重錨已落地）／`envoy-ptype-tap`（終卷已到））
#
# ★解除後：把該行【刪掉】並在 commit message 寫明 —— ★★不要改成「已完成」留在表上
#   （留著會讓這張表長大，然後沒人看 —— 那正是它要防的病）
#
# ★【2026-09-06 CLOSE 三筆】money-genesis-start／market-thickness-v0／declamp-price
#   解除條件（批後同 seed 對比輪的量測檔）★已達成 ⇒ 三張票都已派工到 implementer：
#   ⑩ declamp 核心已落地 `feat/declamp-price` @02801041（驗收進行中）；⑨／B-v0 在手上。
#   ★★所以是【延後結束了】,不是【條件放鬆了】—— 兩者在表上必須分得出來,
#     ★★★否則「做完了所以移除」跟「等不下去所以移除」會長成同一個動作。
#   ★批 2 規矩（我立）:這三張【不得一起 merge】—— 動的是不同子系統,
#     合著進會讓下一條 baseline 讀不出是誰造成的。
token	summary	defer_until	met_check
militia-sliceB-mobilization-beds	★軍民混編 Slice B 啟動時，動員相關的床【隨 spec 新建】，不得復用已刪的舊「備戰」床——★Slice B 的動員語意 ≠ 舊備戰（舊床期望值已隨 2026-09-04 delist-prepare 失效，4 支已刪：seam1_registry/threat_oracle_s2/threat_oracle_s1_probe/survival_single_source）｜★退化判準（met_check 之外的人工檢查）：ls scripts/debug/{seam1_registry_test,threat_oracle_s2_test,threat_oracle_s1_probe_test,survival_single_source_test}.gd 應零命中——有人把舊床撿回來就是退化	Slice B 開工（uses_unified:2394 承重牆 spike 之後）	git grep -q 動員床 -- docs/superpowers/specs/ && grep -q 動員 docs/process/merge-gates.tsv
genesis-merchant-weight-empty-population	★`GENESIS_W_MERCHANT` 角色加權靠 `t.tags.has(TeamData.TAG_MERCHANT)` 判商隊（game_setup.gd:144-145），★★但 random-mode 世界裡 TAG_MERCHANT 母體＝0（`arb_hit_confirm_bed.gd:42-43`：真正驅動 merchant 判定的是 `ambition_archetype == ARCHETYPE_TRADE`，faction_ai:2045）⇒ 商隊權重會 **silently 退化成 OTHER 權重**，整個角色加權形同虛設｜★本次量測用 peaceful_economy(explicit 模式，team8 config 手寫 tags 含「商隊」) ⇒ 不影響 ⑨ 的 CLEAN 判決｜★met_check 查的是【接線有沒有改】（game_setup 是否改讀 ambition_archetype）——★★修法是改接線不是把權重調大，調大只讓錯誤更大聲；★★★pilot 卷面另須印出 TAG_MERCHANT 母體隊數	spec §6④ warring 獨立 pilot（或任何把 genesis 套到 random-mode 世界的時點）	git grep -qE 'ambition_archetype|ARCHETYPE_TRADE' -- scripts/simulation/game_setup.gd
T-C1a-decision-density	★C1 玩家循環：每隊每日【decision-worthy 事件】密度——答「隨機附身開得了嗎」（附身一個隊，一天有沒有值得決策的事）｜量法=specimen 數，不是 aggregate	measurer 空檔（不擋批 2）	test -f docs/process/verdicts/c1a-decision-density.measure.json
T-C1b-verb-latency	★C1 玩家動詞【下注→咬回】延遲分布（tick）——玩家做一個動作到看見結果要多久；★分布不是均值（均值會把「大多數很快、少數永遠不回」讀成中等）	measurer 空檔（不擋批 2）	test -f docs/process/verdicts/c1b-verb-latency.measure.json
T-A4-rout-witness	★A4 驗證票（★不開設計 arc）：鄰隊潰逃後，目擊者的威脅評估動沒動／逃有沒有提早｜★★會 fire ⇒ A4 劃掉；不會 ⇒ 查補丁閘斷鏈｜★★★前提已對帳：潰逃【有】對外產物(npc_combat_system.gd:530 Probe.bump("conq.combat_retreat")、:536 產生訊息)，所以問題是【下游有沒有讀】不是【上游有沒有發】	measurer 空檔（不擋批 2）	test -f docs/process/verdicts/a4-rout-witness.measure.json
A1-reweigh	★A1 重量：同組 probe 對照 8/20 舊 jsonl，看 order_fulfilled 率與 bail 佔比	經濟窗收口	test -f docs/process/verdicts/a1-reweigh.measure.json
zero-children-genuine-or-defect	★★★【2026-09-07 撤回並改寫】原始前提是【窗口假影】：TICKS_PER_DAY=1440（world_state.gd:16）⇒ 那個「1000 tick、65 隊、小孩 0」的跑其實只有 ★0.69 天 —— 17 小時的遊戲時間當然生不出小孩｜★★implementer 的 60 天量測：單隊最大 breed_progress=0.7975 ⇒ ★約 75 天生一個，機制沒斷｜★★★所以真正的問題【換了一個】：不是「生育會不會 fire」（會），是【75 天/胎 是不是我們要的速率】——那是平衡/願景層，要用戶看數字說話	人口卷（90 天窗）出爐後由用戶判速率	test -f docs/process/verdicts/population-90d.measure.json
pending-claims-index-not-mapscan	★B-v0 的待領資產查找用【全圖掃】：decision_context.gd::_gather_pending_claims 與 options.gd 的「領取」to_task 都是 `for tile_id in state.world.tiles` 再過濾 owner_team==自己｜★★語意合法（自知：自己寄賣的紀錄，不是偷看他隊），已標 `# gate-ok`；★★★但形狀錯：每次決策 O(tiles)，且【全圖掃正是 god-view 滲入的通道】——今天過濾自家，明天有人拿掉那個過濾｜★本專案已有既有慣用法：owner_outpost_index.gd（索引取代掃描）	市場厚度窗後量測輪（若板厚/成交量顯示 claim 量大到會痛，提前）	git show origin/main:scripts/simulation/decision/decision_context.gd 2>/dev/null | grep -q "claims_index\|pending_claims_of"
# ═══════════ 已解除（保留紀錄，閘略過註解行）═══════════
# ★不刪除：解除過的 token 是「這件事被要求過、而且達成了」的證據；
#   ★★刪掉之後，下一個人只會看到「沒有這條規矩」。
# [已解除 2026-09-07] bv0-claim-expiry —— 條件：「B-v0 收束之前必須有到期處置（貨留在 escrow 只標到期，不讓貨自己回家＝瞬移）」
#   ⇒ 達成：order_system.gd 的 mkt.escrow.expire_to_claim／expire_tile_gone，隨 B-v0 落 main（ecf818c4）
#   ⇒ ★驗收證據：B-v0 驗收床紅線①「外地賣家成交 coin 0.00→0.00、待領款 +11.20」＝禁瞬移兌現
probe-enabled-observer-surface	★`Probe.enabled` 已不是純旁路旗標：production 讀它 572 處/49 檔，其中 ★61 處是複合條件 `if Probe.enabled and <世界狀態>`，★★至少 3 處在觀測區塊裡【呼叫 production 函式】（goal_resolver.gd:247 `_find_own_outpost`＝憲法閘 gv_mapscan 名單上的全圖掃／:263 `_unit_overlap_tap`／decision_engine.gd:262）｜★★★後果：arm 之後那些 code path 才被走到 ⇒【開儀器與不開儀器是兩個不同的世界】，而我們一直當它們是同一個（血證 2026-09-07：A4 床同 seed 兩跑事件時序不同，測試①證明世界本身決定性）	A4 污染定案後（measurer 測試②指認兇手）	git grep -c "_find_own_outpost" -- scripts/simulation/decision/goal_resolver.gd | grep -q "^0$"
gather-not-pure-read	★★★【2026-09-07 訂正兩次後的真數＝7 處】`DecisionContext.gather` 的【純讀路徑】會寫 7 個節奏快取：decision_context.gd:310/:311(_btile.idle_employ_cached/_next_tick)、:454/:456(team.expand_eval_next_tick/expand_site_cached)、:732/:734/:735(consolidate_target_cache/absorb_target_cache/consolidate_eval_next_tick)｜★而 :790/:792(need_urgency/plan_phase) ★不算——它們由 `if advance:` 守著(gather 簽名 advance:bool=false)，★★`ewma_advance_test` 綠且斷言正確，是我先數成 9 時多算了｜★★★機制：多呼叫一次 gather 若落在節奏到期的 tick ⇒ 快取刷新【且 *_next_tick 被往後推】⇒ 下一次合法評估被延後 ⇒ 事件時序位移(measurer 血證：同 seed 兩跑分岔，測試①證世界本身決定性、②排除 Probe.arm)｜★正解就在同一個函式裡：EWMA 已用 advance 旗標解過，只是沒套用到其他快取｜★★★**met_check 訂正（systems 2026-09-18）**：原本錨在 `sed -n '242,813p'` 這個【行號範圍】上，而 A1 那一票讓同一個檔【長了 102 行】⇒ 範圍滑掉、樣式找不到 ⇒ **被判成「病消失」而它根本沒消失**。⇒ ★改錨在**函式範圍**（`awk` 從 `static func gather(` 到下一支 `static func`）——**同一個性質，但不會因為無關改動而移動**。	A4 v2 重跑之前（它是 A4 可信度的前置）	awk '/^static func gather\(/,/^static func _readable/' scripts/simulation/decision/decision_context.gd | grep -qE '(_btile\.idle_employ|team\.expand_eval_next_tick|team\.expand_site_cached|team\.consolidate_target_cache|team\.absorb_target_cache|team\.consolidate_eval_next_tick) *=' ; test $? -ne 0
parking-dynasty-lineage	★停車場：王朝/正統/聯姻/繼承（notes/2026-07-19-*）｜★★觸發＝B1 之後（整串地基＝血緣→配對→人口卷，鏈條清楚）｜★★★不是「有空再做」——它等的是【人口卷給出真數字】	B1 人口卷交付（血緣/配對層有真讀數）	test -f docs/process/verdicts/population-90d.measure.json
parking-disaster-mandate	★停車場：天災（毀糧×蝕天命）｜★★觸發＝王朝【之後】——蝕天命需要天命先存在，單做毀糧＝雙打的戲意沒了｜★★★⚠️硬條件：經濟量測期【禁加】（換地基中加災害＝把量測母體打亂）｜★★判準訂正 2026-09-07：原寫 `git ls-files | grep dynasty|王朝` ⇒ ★命中的是【停車場筆記本身】(2026-07-19-identity-dynasty-legitimacy-brainstorm.md)＝它認得「有人談過」而不是「有人做了」；★★★同日第三次同形狀（閘撞到談論吞寫 setter 的註解／分類器撞到 PASS 內文的 FAIL 字樣）——而【談論總是比實作先存在】	王朝落地之後，且不在經濟量測期內	git grep -ql "mandate_of_heaven|legitimacy" -- scripts/simulation/ scripts/data/
parking-history-chronicle	★停車場：敘事可見/史書｜★★觸發＝C1 介面票落地後｜★★★別重做：C1 記憶模型（belief-colored、帶血統、玩家自己挖）【就是】「世界內偏史」的個人版——史書是它的聚合視圖，不是另一套機制	C1 介面票落地	ls docs/superpowers/specs/ | grep -qi 'c1.*interface\|interface.*c1'
parking-infowar-verbs	★停車場：情報操控/資訊戰四動詞｜★★觸發＝A1 重量之後——★被動面（傳播/衰減/失真）確認夠用，才輪到主動操控；反過來會在一個還沒站穩的底盤上加主動層	A1 重量交付	test -f docs/process/verdicts/a1-reweigh.measure.json
parking-bonds-growth-arc	★停車場：正面羈絆/成長弧｜★★觸發＝A3 Trait 討論【併談】——「經歷→成長」與「經歷→trait」是同一塊肉｜★★★自帶張力：成長 vs 人格固定，屆時用戶裁｜★判準【刻意】指向 docs/notes：本條的觸發就是【討論開始】(併談 A3)，所以命中筆記是正確的偵測，不是同型誤觸——★★別照 parking-disaster-mandate 那條的訂正來『修』它，兩者要偵測的事件不同	A3 Trait 討論開始（併談，不獨立排）	ls docs/notes/ docs/superpowers/specs/ 2>/dev/null | grep -qiE 'a3.*trait|trait.*a3'
parking-economic-class	★停車場：經濟階級｜★★觸發＝經濟基線考後｜★★★筆記自寫「大半湧現」⇒ 同 A4 型：先看貧富分佈數字，★可能是【驗證票】而不是設計題	經濟基線考交付（貧富分佈有數字）	ls docs/process/verdicts/ | grep -qiE 'baseline.*econ|econ.*baseline|wealth'
parking-c4-individual-casualty	★停車場：NPC 個別傷亡／PersonGenerator／coming-of-age（C4）｜★★觸發＝人口卷家族（B1/B2/A3 同窗）——★它們共用同一批儀器，分開做等於量三次	人口卷交付	test -f docs/process/verdicts/population-90d.measure.json
parking-tech-knowledge-noTrigger	★停車場：技術/知識｜★★★【真·遠期，續停，無觸發可掛】——★而它留在表上的理由是：『沒有觸發』本身要被記錄，否則下次有人會以為它被遺漏了	無（刻意不掛觸發；本 token 只為留下『我們知道它在那裡』）	false
priority-started-check	★★★【第一優先空轉】偵測：blueprint 裁「X 是第一優先」而【沒有任何機制檢查它有沒有起跑】——血證 2026-09-07：人口儀器卷裁「批 2 收口後第一優先」，批 2 收口(B-v0 merge ecf818c4)後它【從沒被派出去】，實際跑的是授權為「空檔」的 T-C1a/T-A4；★是 blueprint 向用戶報偏離時自查才發現，★★而那時已空轉整段｜★★★這與本專案反覆出現的病同型：【觸發條件滿足了，而沒有任何東西會說話】——我今天修了 Tier2/token/閘的同型，卻漏了【排序】這一格	下一次有「第一優先」裁定時（本 token 是規矩不是工作）	ls docs/process/verdicts/ | grep -q 'population-90d'
# ── ★CLOSED 2026-09-09：`gather-purity-bed-as-gate`（條件達成 → 已登記）──
#   ★這條【今天真的叫了一次】：解除條件（2e82de32）在 2026-09-08 就達成，而沒有人回頭，
#     直到 defer-gate 把它判紅 —— **那就是這張表存在的理由**。
#   收口：床已登記進 merge-gates.tsv（`gather-purity`，expect `=== DONE === SECTIONS=7/7 FAILS=0`）。
#   ★★而登記前切了一刀：世界段（fp 比對＋世界段判定，print-only）移到 `GP_WORLD=1` 之後
#     ⇒ 208s → 10.6s。理由：★★★這支床【貴的那一半正好是不判決的那一半】。
#   ★關掉時總結行印「已略過」而不是 0/7 —— 「關掉」與「跑了但一格都沒判到」是兩件事。
# gather-purity-bed-as-gate	★`scripts/debug/gather_observation_purity_bed.gd` 已在 main（證據本體），★★但【刻意不登記成 merge 閘】——它此刻會紅（gather 確實擾動），紅閘會擋住所有人｜★★★配對規則：`gather-not-pure-read` 修法落地【那一刻】把它登記進 merge-gates.tsv ⇒ 它從【證據】變成【回歸守衛】，而那正是本專案反覆漏掉的一格（床在、卻沒接到任何會讀的東西上）｜★★2026-09-08 訂正：修法已落地，而【床仍不是守衛】——它的判準是 fp，而 fp 不涵蓋那七個欄位 ⇒ revert 掉床照樣印一樣的東西。收口＝給床補 `observe==0` 閘格＋`advance>0` 母體格，fp 那條降級成診斷不進 PASS/FAIL（它此刻仍不同，當閘格會第一天就紅）	gather-not-pure-read 修法落地（★2e82de32 已落地 2026-09-08）	grep -q "^gather-purity" docs/process/merge-gates.tsv
k-symptom-A-five-resources-never-candidate	★接 k 校驗判決①：herb/gem/ore_gold/ore_iron/ore_steel 五種資源【從未出現在候選生成層】(113205 行 specimen 逐字 0 次)，而它們都有真實下游 recipe｜★★已解釋的一半：weapon_melee_low 的上游 ore_iron 缺席可解釋——S2 買路徑 maintain_weapons:resource 持續生成 2070 次 ⇒ means-end 從未被逼下探 ore_iron｜★★★未解釋的一半：herb/gem/ore_gold 的缺席【更深層原因沒查到】——這格是【未知】不是【已知未修】｜★★QA 跨 world 誠實限（照抄，必須跟票走）：material 是 warring_states/30日/49隊，不是原始 0.1395 那輪的 peaceful_economy/90日/18隊 ⇒【機制級佐證，不是直接復現】；★★★GATE-B 同格嫌疑【沒查，不是排除】——它仍在桌上｜★關票時同時撤掉 03b_measurer 的方向註記	下一輪 means-end/候選生成診斷（不急，但別讓它變成「大家都知道所以沒人查」）	grep -c '"herb"' docs/measurements/2026-09-07-population-turnover.specimen.jsonl 2>/dev/null | grep -qv '^0$'
k-symptom-B-weapon-util-never-wins	★接 k 校驗判決②：weapon_melee_low 候選【生成正常】(2334 次) 但 util avg 0.174 vs maintain_tools 約 1.0 ⇒【0 次贏過 argmax】｜★★★而處置【禁 crank】：本專案既有法「util 必＝真值，禁因不 fire 就把分數調到會贏」——要先問【0.174 是不是 genuine 的真值】(武器對一支不缺武器的隊本來就低價值?) 再談上游｜★而它不是手不聽腦家族(贏了沒執行)，是【根本沒贏過】＝要查的是 util 的輸入不是 dispatch｜★★QA 跨 world 誠實限（照抄，必須跟票走）：material 是 warring_states/30日/49隊，不是原始 0.1395 那輪的 peaceful_economy/90日/18隊 ⇒【機制級佐證，不是直接復現】；★★★GATE-B 同格嫌疑【沒查，不是排除】——它仍在桌上｜★關票時同時撤掉 03b_measurer 的方向註記	武器/製造鏈診斷輪	test -f docs/process/verdicts/weapon-util-genuine-or-gap.measure.json
# ── ★CLOSED 2026-09-09：`ore-depletion-counter`（blueprint 裁「前提不成立」，systems 複驗）──
#   前提原文：「`tile.resources` 採集要遞減，而 worldgen 現在是【寫一次即永恆】⇒ 礦是無限的」
#   ★複驗：`resource_system.gd:458`  TileBank.pool_set(src_tile, res, maxf(current - gain, 0.0), "harvest_deplete")
#     ⇒ 採集【真的會遞減】；而 `REGEN_RATE`（:55-59）只有 food/material，★★礦沒有再生 ⇒ 遞減是永久的。
#   ⇒ 前提在寫下的當時可能成立，現在不成立 ⇒ 關。
#   ★★★而這一列的 met_check 是【永遠不會觸發】的：它 grep `depletion|remaining_yield`，
#     而 code 裡的字是 `harvest_deplete` —— ★`depletion` 不是 `harvest_deplete` 的子字串。
#     ⇒ 就算前提還成立，這條 defer 也【永遠不會被叫醒】。
#   ⇒ ★後續（blueprint 開）：機制存在 ≠ 枯竭在實際時間尺度上會發生 ⇒ 量測票
#     `qty.harvest_taken.ore_gold` 累計 vs worldgen 初始總量（90/180 天採掉幾成）。
#   （★留這段而不是刪掉整列：下一個查「礦有沒有限」的人要看得到它是怎麼被關的。）
# ore-depletion-counter	★儲量遞減計數器（礦有限裁定的 HOW）：`tile.resources` 採集要遞減，★而 worldgen 現在是【寫一次即永恆】⇒ 礦是無限的｜★★這一格與「有大有小/規模經濟」arc 相關：資源有限才有地理張力	薪資票之後（同屬經濟地基批）	git grep -q 'depletion\|remaining_yield' -- scripts/simulation/resource_system.gd scripts/simulation/harvest_system.gd
verify-coin-marginal-diminishing	★★【四待驗票之首，最優先】coin 邊際遞減【在不在引擎裡】——★成本錨是否成立，決定「無限泉」會不會自穩｜★★★若沒有邊際遞減 ⇒ 給錢就是線性好處 ⇒ 貨幣量的任何裁定都建立在一個不會飽和的系統上	現在可查（★這是 code 對帳題不是長跑題）	test -f docs/process/verdicts/coin-marginal-diminishing.measure.json
verify-chronic-underpay-downstream	★四待驗票②：慢性減薪的【下游全貌】——扣忠誠之後會走到哪（離團？叛變？生產下降？）★目前只知道入口不知道出口	薪資修法票落地後（★修完才有新的下游可看）	test -f docs/process/verdicts/chronic-underpay-downstream.measure.json
verify-anon-treasury-zero-longterm	★四待驗票③：`anon_treasury = 0` 的長期效應——匿名兵公庫見底之後世界會怎樣（★而它現在是薪資懲罰的觸發源之一）	薪資修法票落地後	test -f docs/process/verdicts/anon-treasury-zero-longterm.measure.json
verify-named-attrition-vs-leave-threshold	★四待驗票④：named 流失速率 vs 離團閾值——★修法把 underpay 導向【個體離團】之後，流失速率會不會快到把隊掏空	薪資修法票落地後（★這是修法的【副作用檢查】不是驗收）	test -f docs/process/verdicts/named-attrition-vs-threshold.measure.json
wage-penalty-geography-condemned	★★★【修法票，高優先】薪資懲罰重構——bug 已坐實：無幣村 `budget_ratio=0` ⇒ 每 7 天全員滿額扣忠誠 + unrest 永動 ＝【地理被定罪】（一支隊只因為所在地沒有貨幣流通就永久受罰）｜★修法語意（用戶裁，已落意圖帳「雙層薪資制」行）：①named underpay ⇒ 個體忠誠流失（導向【離團】而不是全隊 unrest）②unrest 從薪資【摘鉤】，歸供養失敗 ③匿名薪資懲罰移除，改 morale 錨供養 ④anon 池降＝可選士氣加成｜★★HOW spec 由 systems 寫｜★★★2026-09-08 spec 已鎖（docs/superpowers/specs/2026-09-08-wage-penalty-rework-HOW.md）⇒ token 轉【等交付】｜★而 spec 訂正了票面一處：`salary_system.gd` 裡【沒有任何 unrest 寫入】(只有 :209 一個 Probe 讀) ⇒「unrest 從薪資摘鉤」很可能是【零改動 + 一條註記】，要先驗它本來就沒鉤上｜★★bug 行號坐實：salary_system.gd:176 `LoyaltyBank.adjust(p, -(1.0 - ratio) * SALARY_LOYALTY_PENALTY, "underpay")`，ratio=coin_avail/payroll ⇒ 無幣村 ratio=0 ⇒ 扣滿額、每週一次、永遠	實作交付（★spec 已鎖，等 implementer）	test -f docs/process/verdicts/wage-penalty-rework.measure.json
# [已解除 2026-09-07] genesis-k-calibration —— 條件：「QA 故事稽核結案：0.1395 是 genuine 還是症狀」
#   ⇒ 達成：QA 判【症狀，非 genuine】docs/process/verdicts/genesis-turnover-story-audit.measure.json
#   ⇒ ★兩個具名後續票接手：k-symptom-A-five-resources-never-candidate ／ k-symptom-B-weapon-util-never-wins
#   ⇒ ★★而誠實限「貨幣量未過校驗」已解除，改掛【方向註記】（03b_measurer.md）
#      —— ★★★『這個數字不能用』變成『可以用，而我們知道它往哪邊偏』
note-seam-gate-p9	★notes/2026-08-2x-seam-gate-p9.md：把交接縫的「偵測」升級成「確保」｜★★驗證結果：merge-gates.tsv 裡【零個 seam 閘】⇒ 未落地｜★★★而 note 自己 §2 已標兩個障礙（不能掛 constitution_gate＝類別不符／產物不帶 slice id）——★所以它不是「忘了做」，是【卡在一個已知障礙上】，而那個障礙沒有票在追	產物帶 slice id 之後（§2.2 那個障礙解掉）	grep -q '^seam' docs/process/merge-gates.tsv
note-concept-doc-vs-worklog	★notes/2026-08-2x-concept-doc-vs-worklog.md：概念 doc 混進工作紀錄的【判準】＋ game-design 工作清單｜★★驗證：判準【沒有進任何 process doc】（git grep 立法署名 -- docs/process/ ⇒ 0 檔）⇒ 未落地｜★★★而它的修正版判準本身有價值：第一版「帶日期＝紀錄」在 invariants.md 上失效，因為那裡的日期是【立法署名】不是狀態｜★★判準訂正（2026-09-07，★同日第二次自指假陽性）：原寫 `git grep 立法署名 -- docs/process/` ⇒ ★命中的是【本 token 自己這一行】（defers.tsv 就在 docs/process/ 底下）；前一次是 parking-disaster 命中停車場筆記本身 ⇒ ★★★通則：**判準必須排除【承載判準的那個檔案】**	doc 整理輪（★工作清單那半是 game-design＝blueprint 的格子，判準這半是我的）	git grep -q '立法署名' -- docs/process/ ':!docs/process/defers.tsv'
